iter	Passed	Remaining
0	46	46862
1	48	24261
2	49	16325
3	49	12361
4	50	9981
5	50	8393
6	51	7251
7	51	6395
8	52	5732
9	52	5199
10	54	4878
11	54	4509
12	55	4194
13	55	3922
14	56	3687
15	56	3480
16	57	3298
17	57	3137
18	57	2992
19	58	2861
20	58	2743
21	59	2637
22	59	2545
23	60	2455
24	60	2372
25	61	2295
26	61	2224
27	62	2158
28	62	2096
29	63	2038
30	63	1985
31	63	1934
32	64	1889
33	64	1844
34	65	1815
35	66	1776
36	66	1738
37	67	1702
38	68	1685
39	68	1654
40	69	1627
41	70	1608
42	70	1580
43	71	1552
44	71	1526
45	72	1500
46	72	1476
47	73	1452
48	73	1430
49	74	1408
50	74	1388
51	75	1367
52	75	1348
53	75	1329
54	76	1312
55	76	1295
56	77	1278
57	77	1263
58	78	1254
59	79	1239
60	79	1224
61	80	1210
62	80	1196
63	80	1183
64	81	1170
65	81	1157
66	82	1148
67	83	1140
68	83	1130
69	84	1119
70	84	1107
71	85	1096
72	85	1086
73	85	1076
74	86	1066
75	86	1056
76	87	1047
77	87	1038
78	88	1029
79	88	1020
80	89	1011
81	89	1003
82	89	992
83	90	984
84	90	977
85	91	969
86	91	961
87	92	954
88	92	947
89	93	940
90	93	933
91	93	926
92	94	920
93	94	915
94	95	910
95	96	911
96	101	944
97	102	940
98	102	936
99	103	931
100	104	926
101	106	933
102	107	933
103	107	927
104	108	926
105	109	922
106	110	918
107	110	914
108	111	910
109	112	906
110	112	902
111	114	909
112	115	904
113	115	898
114	117	902
115	117	897
116	118	891
117	118	885
118	118	880
119	119	876
120	119	870
121	120	865
122	120	862
123	121	857
124	121	853
125	122	848
126	122	843
127	123	838
128	123	834
129	124	830
130	125	835
131	126	832
132	127	829
133	127	826
134	128	823
135	129	819
136	129	815
137	129	811
138	130	808
139	130	804
140	131	800
141	131	796
142	132	792
143	132	788
144	133	784
145	133	780
146	134	782
147	135	779
148	135	775
149	136	772
150	136	768
151	137	765
152	137	762
153	138	758
154	138	755
155	139	752
156	139	749
157	139	745
158	140	743
159	140	740
160	141	736
161	141	733
162	142	730
163	142	728
164	143	725
165	143	722
166	144	719
167	144	717
168	145	715
169	146	713
170	146	711
171	147	709
172	148	708
173	148	706
174	149	704
175	150	702
176	150	701
177	151	699
178	151	696
179	152	694
180	152	691
181	153	688
182	153	686
183	154	683
184	154	681
185	155	679
186	155	677
187	156	675
188	156	672
189	157	670
190	157	669
191	158	666
192	158	664
193	159	663
194	160	661
195	160	658
196	161	656
197	161	654
198	162	652
199	162	650
200	163	648
201	163	646
202	164	644
203	164	642
204	165	640
205	165	638
206	166	636
207	166	634
208	167	632
209	167	630
210	167	628
211	168	626
212	169	625
213	169	624
214	170	622
215	170	620
216	171	618
217	171	616
218	172	614
219	172	613
220	173	611
221	173	609
222	174	607
223	174	605
224	175	603
225	175	601
226	176	599
227	176	597
228	177	596
229	177	594
230	177	592
231	178	590
232	178	588
233	179	586
234	179	585
235	180	583
236	180	581
237	181	579
